identical,similar,new,deleted,simiScore
activity,cn.wps.moffice.main.push.common.PopUpTranslucentAciivity,1,1,0
activity,cn.wps.moffice.main.cloud.drive.OpenAssembleFolderDriveActivity,1,1,0
activity,cn.wps.moffice.common.interstitial.MoPubNativeInterstitialAdsActivity,1,1,0
activity,cn.wps.moffice.main.pdfentry.WebConvertToPDFActivity,1,1,0
activity,cn.wps.moffice.common.shareplay2.BackGroudActivity,1,1,0
activity,cn.wps.moffice.main.cloud.roaming.login.core.ext.cn.cmcc.BindOtherPhoneActivity,1,1,0
activity,cn.wps.moffice.common.google.signin.GoogleSignInActivity,1,1,0
activity,cn.wps.moffice.service.lite.work.exportpdf.ConvertPdfMainActivity,1,1,0
activity,cn.wps.moffice.main.cloud.drive.OpenTagListActivity,1,1,0
activity,cn.wps.moffice.main.AllDocAction,1,1,0
activity,cn.wps.moffice.main.local.scfolder.phone.SCFolderActivity,1,1,0
activity,cn.wps.moffice.common.webshareplay.WebSharePlayActivity,1,1,0
activity,cn.wps.moffice.main.cloud.roaming.historyversion.preview.HistoryPreViewActivity,1,1,0
activity,cn.wps.moffice.main.local.openplatform.impl.PadOpenPlatformActivity,1,1,0
activity,cn.wps.moffice.guide.AppGuideActivity,1,1,0
activity,cn.wps.moffice.main.cloud.drive.secretfolder.extlibs.SecretFolderActivity,1,1,0
activity,cn.wps.moffice.main.local.home.feedback.FeedbackHomeActivity,1,1,0
activity,cn.wps.moffice.main.ScanQrCodeAction,1,1,0
activity,cn.wps.moffice.writer.Writer,1,1,0
activity,cn.wps.moffice.main.cloud.storage.warning.CSWarningActivity,1,1,0
activity,cn.wps.moffice.main.cloud.storage.cser.clouddocs.groupsettingactivity.CloudDocsTeamSettingActivity,1,1,0
activity,cn.wps.moffice.main.local.home.phone.application.apps.pdftoolkit.PDFToolkitIntroduceActivity,1,1,0
activity,cn.wps.moffice.main.scan.ui.PadPreviewImgGalleryActivity,1,1,0
activity,cn.wps.moffice.main.thirdpay.incentivead.IncentiveAdActivity,1,1,0
activity,cn.wps.moffice.presentation.multiactivity.Presentation10,1,1,0
activity,cn.wps.moffice.presentation.multiactivity.Presentation11,1,1,0
activity,cn.wps.moffice.main.scan.ui.EditActivity,1,1,0
activity,cn.wps.moffice.presentation.multiactivity.Presentation12,1,1,0
activity,cn.wps.moffice.presentation.multiactivity.Presentation13,1,1,0
activity,cn.wps.moffice.main.scan.ui.PreScanExportActivity,1,1,0
